Dataset,Accuracy,Best_k_nb
HouseTwenty,0.8823529411764706,7
InsectEPGSmallTrain,1.0,1
InsectEPGRegularTrain,1.0,1
ItalyPowerDemand,0.9494655004859086,6
LargeKitchenAppliances,0.7146666666666667,5
Lightning2,0.8852459016393442,4
Mallat,0.935181236673774,3
Meat,0.9333333333333333,3
MedicalImages,0.6394736842105263,1
MiddlePhalanxOutlineCorrect,0.6941580756013745,1
MiddlePhalanxTW,0.45454545454545453,5
MixedShapesRegularTrain,0.694020618556701,7
MixedShapesSmallTrain,0.7043298969072165,6
MoteStrain,0.8378594249201278,7
NonInvasiveFetalECGThorax1,0.1409669211195929,7
NonInvasiveFetalECGThorax2,0.4442748091603053,7
OliveOil,0.8333333333333334,1
PhalangesOutlinesCorrect,0.6561771561771562,1
Plane,1.0,3
PowerCons,0.6277777777777778,3
ProximalPhalanxOutlineAgeGroup,0.8634146341463415,7
