Dataset Name,Accuracy,Best_k_nb,Avg_Error
BeetleFly,0.5,4,0.24980362607146667
BirdChicken,0.5,1,0.384265808736276
BME,0.47333333333333333,1,0.8834126833429603
Car,0.36666666666666664,1,0.7534296447307288
CBF,0.98,4,0.8950693868090601
Chinatown,0.9504373177842566,1,0.9992911046898688
Coffee,0.5357142857142857,1,0.47170445006074985
CricketX,0.4794871794871795,1,0.9516220872829111
CricketZ,0.5435897435897435,5,0.9530279383224746
CinCECGTorso,0.5797101449275363,1,0.9784310667001047
DiatomSizeReduction,0.38562091503267976,1,0.6336991164059977
DistalPhalanxOutlineAgeGroup,0.7050359712230215,1,0.7138866080974311
DistalPhalanxOutlineCorrect,0.7463768115942029,4,0.7234150002091535
DistalPhalanxTW,0.6546762589928058,7,0.7140045648469012
Computers,0.572,4,0.9738087619475861
Earthquakes,0.6690647482014388,5,0.9584981792379137
ECG200,0.66,3,0.8451024655648068
ECG5000,0.9286666666666666,3,0.9208707337136093
FaceAll,0.5668639053254438,4,0.9217209103515716
FacesUCR,0.7009756097560975,1,0.922367005127536
Fish,0.38857142857142857,1,0.5701662836863518
FordA,0.55,7,0.9487237096335692
Fungi,0.40860215053763443,1,0.9889626182711092
FreezerRegularTrain,0.8343859649122807,1,0.939304734703832
FreezerSmallTrain,0.7680701754385965,6,0.939276125980847
GunPoint,0.6533333333333333,1,0.8677735429525179
GunPointMaleVersusFemale,0.8227848101265823,1,0.9998841523060534
GunPointOldVersusYoung,1.0,1,0.9998840033956131
GunPointAgeSpan,0.8512658227848101,3,0.9998841584514032
HandOutlines,0.7405405405405405,7,0.9165991752719985
HouseTwenty,0.4369747899159664,7,0.9999660677532485
InsectEPGSmallTrain,1.0,1,0.9860792598269515
InsectEPGRegularTrain,1.0,1,0.9860007106614935
ItalyPowerDemand,0.8901846452866861,6,0.7848031689539354
LargeKitchenAppliances,0.5626666666666666,4,0.9660472923762574
Lightning2,0.5573770491803278,1,0.9537198852874706
Mallat,0.9215351812366738,1,0.9055978503846956
Meat,0.65,1,0.5735156582972221
MedicalImages,0.6118421052631579,1,0.8897283222155333
MiddlePhalanxOutlineCorrect,0.7457044673539519,6,0.571692657743137
MiddlePhalanxTW,0.5454545454545454,7,0.577086239770883
MixedShapesRegularTrain,0.6878350515463918,1,0.955379183187994
MixedShapesSmallTrain,0.7439175257731959,1,0.9550192930711798
MoteStrain,0.7747603833865815,1,0.9041464753384085
NonInvasiveFetalECGThorax1,0.5852417302798982,4,0.8737693619262166
NonInvasiveFetalECGThorax2,0.672264631043257,4,0.8786226629970386
OliveOil,0.16666666666666666,1,2.8001016634772524
PhalangesOutlinesCorrect,0.7400932400932401,6,0.6795860988502797
Plane,0.6571428571428571,1,0.848829456169682
PowerCons,0.6722222222222223,1,0.9390721520473543
ProximalPhalanxOutlineAgeGroup,0.8390243902439024,6,0.5038000416941878
ProximalPhalanxOutlineCorrect,0.7903780068728522,3,0.5142688133202156
ProximalPhalanxTW,0.7902439024390244,6,0.5059449547666103
SemgHandGenderCh2,0.6516666666666666,6,0.9992529843871243
SemgHandMovementCh2,0.36666666666666664,4,0.9991667216502045
SemgHandSubjectCh2,0.34,1,0.9991920499302259
ShapesAll,0.305,1,0.9466187721833528
SmallKitchenAppliances,0.624,5,0.9703360204041545
SmoothSubspace,0.8333333333333334,7,0.34531867526203996
SonyAIBORobotSurface2,0.7922350472193075,1,0.8622551233414661
StarLightCurves,0.8443419135502671,4,0.968049148915223
Strawberry,0.8108108108108109,1,0.8013270472785917
SwedishLeaf,0.448,1,0.7978877176331359
Symbols,0.7899497487437186,1,0.9620210294273827
SyntheticControl,0.7866666666666666,1,0.920980420119288
ToeSegmentation1,0.5570175438596491,1,0.9402619920625479
ToeSegmentation2,0.8384615384615385,7,0.9386270175285247
Trace,0.43,1,0.958342198571665
TwoLeadECG,0.8261633011413521,1,0.6740548204198524
TwoPatterns,1.0,1,0.8970704000527508
Wafer,0.9474367293964958,1,0.9375420870341459
Yoga,0.6913333333333334,1,0.9297165154194501
